Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Traffic_Lignt_CU.PrjPCB|ReportField=ProjectFullPath~C:\Users\Administrator\Desktop\2017项目\20171105-cu-2.4定稿\Traffic_Lignt_CU.PrjPCB|ReportField=Title~Bill of Materials For Project [Traffic_Lignt_CU.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~13:39:40|ReportField=ReportDate~2017/12/27|ReportField=ReportDateTime~2017/12/27 13:39:40|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~238|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/12/27|ReportField=CurrentTime~13:39:34|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Administrator\Desktop\2017项目\20171105-cu-2.4定稿\POWER.SchDoc|ReportField=DocumentName~POWER.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/11/23|ReportField=Organization~|ReportField=ProjectName~Traffic_Lignt_CU.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Traffic_Lignt_CU.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Administrator\Desktop\2017项目\20171105-cu-2.4定稿\Traffic_Lignt_CU.PrjPCB|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CHECK|测试点|1, GNDIN1, VCCIN1, VSS1|CHECK-B|CHE, C|4
2|ADuM1201||ADuM1|SOIC-8|ADuM1201|1
3|B0505||B1|B0505D-1WR2|B0505|1
4|0.01uF|Capacitor|C1|LC-0603_C|CAP|1
5|100nf|Capacitor|C2, C3, C4, C5, C8, C36, C37, C38, C39, C40, C41, C42, C43, C44|LC-0603_C|CAP|14
6|104|Capacitor, [NoValue]|C6, C7, C9, C10, C12, C16, C17, C18, C22, C25, C27, C30|LC-0603_C|Cap|12
7|104|Capacitor|C11, C13, C21, C26, C31|LC-0805_C|Cap|5
8|10uf/16V|Capacitor|C14, C15, C19, C20, C23, C24, C28, C29|LC-0805_C|Cap|8
9|0.1uF (104) 10% 50V|贴片电容|C32|LC-1206_C|0805 1uF (105) 10% 50V|1
10|1uF (105) 10% 50V|贴片电容|C33|LC-0805_C|0805 1uF (105) 10% 50V|1
11|22pF|Capacitor|C34, C35|LC-0603_C|Cap|2
12|SS34|二极管|D1|LC-SMA(DO-214AC)_S1|D|1
13|Diode-Z|稳压二极管|D2|LC-SMA(DO-214AC)_S1|Dio|1
14|smbj5.0ca|Zener Diode|D3, D8, D9|LC-SMB(DO-214AA)_S1|ZENER3|3
15|LED||D4|0603_LED_G|LED|1
16|smbj24ca|Zener Diode|D5|LC-SMB(DO-214AA)_S1|ZENER3|1
17|smbj5.0ca|Zener Diode|D6, D7|LC-SOD-123|ZENER3|2
18|红灯 0603|发光二极管|D10|LC-0603_LED_S1|0603 红灯|1
19|绿灯 0603|发光二极管|D11, D12, D48|0603_LED_G|0|3
20|MB10S|整流桥|D13, D15, D17, D19|LC-MBS|MBS|4
21|1N4148|Default Diode|D14, D16, D18, D20|LC-SOD-123|Diode|4
22|1n4007|Default Diode|D21, D22, D24, D25, D27, D28, D29, D31, D32, D35, D36, D38, D39, D41, D42, D44, D45|LC-SOD-123|Diode|17
23|白灯 0805|发光二极管|D23, D26, D30, D33, D34, D37, D40, D43|LC-0603_LED_S1|0805 白灯|8
24|绿灯 0603|发光二极管|D46, D47|LC-0603_LED_S1|0|2
25|25V/220uf|Electrolytic Capacitor|E1|C-RB-SD8|ELECTRO2|1
26|220uF/16V|Electrolytic Capacitor|E2|C-RB-SD6|ELECTRO2|1
27|10uf|Electrolytic Capacitor|E3|LC-CASE-B_3528|ELECTRO1|1
28|22uF|Electrolytic Capacitor|E4, E7, E8, E9|LC-CASE-B_3528|ELECTRO2|4
29|TAJA106M010RNJ|Electrolytic Capacitor|E5, E6, E10, E11|LC-CASE-A_3216|ELECTRO2|4
